Dataset,Gene,Species,GO-term,Term,Definition,Ontology
Four,CPNE3,aipysurusLaevis,GO:0005544,calcium-dependent phospholipid binding,"Interacting selectively and non-covalently with phospholipids, a class of lipids containing phosphoric acid as a mono- or diester, in the presence of calcium.",MF
Four,DBR1,aipysurusLaevis,GO:0008419,RNA lariat debranching enzyme activity,Catalysis of the hydrolysis of branched RNA structures that contain vicinal 2'-5'- and 3'-5'-phosphodiester bonds at a branch point nucleotide.,MF
Four,CCT5,aipysurusLaevis,GO:0032212,positive regulation of telomere maintenance via telomerase,"Any process that activates or increases the frequency, rate or extent of the addition of telomeric repeats by telomerase.",BP
Four,CCT5,aipysurusLaevis,GO:0050821,protein stabilization,Any process involved in maintaining the structure and integrity of a protein and preventing it from degradation or aggregation.,BP
Four,CCT5,aipysurusLaevis,GO:0005832,chaperonin-containing T-complex,A multisubunit ring-shaped complex that mediates protein folding in the cytosol without a cofactor.,CC
Four,CCT5,aipysurusLaevis,GO:0048487,beta-tubulin binding,Interacting selectively and non-covalently with the microtubule constituent protein beta-tubulin.,MF
Four,CCT5,aipysurusLaevis,GO:0031681,G-protein beta-subunit binding,Interacting selectively and non-covalently with a G-protein beta subunit.,MF
Four,CCT5,aipysurusLaevis,GO:0048027,mRNA 5'-UTR binding,Interacting selectively and non-covalently with the 5' untranslated region of an mRNA molecule.,MF
Four,CCT5,aipysurusLaevis,GO:0051082,unfolded protein binding,Interacting selectively and non-covalently with an unfolded protein.,MF
Four,CCT5,aipysurusLaevis,GO:0005524,ATP binding,"Interacting selectively and non-covalently with ATP, adenosine 5'-triphosphate, a universally important coenzyme and enzyme regulator.",MF
Four,DIP2B,aipysurusLaevis,GO:0043014,alpha-tubulin binding,Interacting selectively and non-covalently with the microtubule constituent protein alpha-tubulin.,MF
Four,SOX9,aipysurusLaevis,GO:0090103,cochlea morphogenesis,The process in which the cochlea is generated and organized.,BP
Four,SOX9,aipysurusLaevis,GO:0071364,cellular response to epidermal growth factor stimulus,"Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of an epidermal growth factor stimulus.",BP
Four,SOX9,aipysurusLaevis,GO:0071260,cellular response to mechanical stimulus,"Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a mechanical stimulus.",BP
Four,SOX9,aipysurusLaevis,GO:0090190,positive regulation of branching involved in ureteric bud morphogenesis,"Any process that increases the rate, frequency or extent of branching involved in ureteric bud morphogenesis, the process in which the branching structure of the ureteric bud is generated and organized. The ureteric bud is an epithelial tube that grows out from the metanephric duct. The bud elongates and branches to give rise to the ureter and kidney collecting tubules.",BP
Four,SOX9,aipysurusLaevis,GO:0034236,protein kinase A catalytic subunit binding,Interacting selectively and non-covalently with one or both of the catalytic subunits of protein kinase A.,MF
Four,SOX9,aipysurusLaevis,GO:0071300,cellular response to retinoic acid,"Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a retinoic acid stimulus.",BP
Four,SOX9,aipysurusLaevis,GO:0008013,beta-catenin binding,Interacting selectively and non-covalently with the beta subunit of the catenin complex.,MF
Four,SOX9,aipysurusLaevis,GO:0014068,positive regulation of phosphatidylinositol 3-kinase signaling,"Any process that activates or increases the frequency, rate or extent of signal transduction mediated by the phosphatidylinositol 3-kinase cascade.",BP
Four,SOX9,aipysurusLaevis,GO:0001228,"DNA-binding transcription activator activity, RNA polymerase II-specific",Interacting selectively and non-covalently with a specific double-stranded genomic DNA sequence (sometimes referred to as a motif) within the regulatory region of a RNA polymerase II-transcribed gene to activate or increase transcription. Regulatory regions include promoters (proximal and distal) and enhancers. Genes are transcriptional units.,MF
Four,SOX9,aipysurusLaevis,GO:0032808,lacrimal gland development,"The process whose specific outcome is the progression of the lacrimal gland over time, from its formation to the mature structure. The lacrimal gland produces secretions that lubricate and protect the cornea of the eye.",BP
Four,SOX9,aipysurusLaevis,GO:0070384,Harderian gland development,"The process whose specific outcome is the progression of the Harderian gland over time, from its formation to the mature structure. The Harderian gland is an anterior orbital structure usually associated with the nictitating membrane, and produces and secretes a variety of substances to the eye, depending upon the species.",BP
Four,SOX9,aipysurusLaevis,GO:0019100,male germ-line sex determination,The determination of sex and sexual phenotype in a male organism's germ line.,BP
Four,SOX9,aipysurusLaevis,GO:0035622,intrahepatic bile duct development,"The progression of the intrahepatic bile ducts over time, from their formation to the mature structure. Intrahepatic bile ducts (bile ducts within the liver) collect bile from bile canaliculi in the liver, and connect to the extrahepatic bile ducts (bile ducts outside the liver).",BP
Four,SOX9,aipysurusLaevis,GO:0060517,epithelial cell proliferation involved in prostatic bud elongation,"The multiplication of epithelial cells, contributing to the expansion of the primary prostatic bud.",BP
Four,SOX9,aipysurusLaevis,GO:0060784,regulation of cell proliferation involved in tissue homeostasis,"Any process that modulates the frequency, rate or extent of cell proliferation resulting in the maintenance of a steady-state number of cells within a tissue.",BP
Four,SOX9,aipysurusLaevis,GO:0061145,lung smooth muscle development,"The process whose specific outcome is the progression of smooth muscle in the lung over time, from its formation to the mature structure.",BP
Four,SOX9,aipysurusLaevis,GO:0071504,cellular response to heparin,"Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a heparin stimulus.",BP
Four,PSPC1,aipysurusLaevis,GO:0042382,paraspeckles,"Discrete subnuclear bodies in the interchromatin nucleoplasmic space, often located adjacent to nuclear specks. 10-20 paraspeckles are typically found in human cell nuclei.",CC
Four,APCDD1,aipysurusLaevis,GO:0017147,Wnt-protein binding,"Interacting selectively and non-covalently with Wnt-protein, a secreted growth factor involved in signaling.",MF
Four,KPNA2,aipysurusLaevis,GO:0042826,histone deacetylase binding,Interacting selectively and non-covalently with the enzyme histone deacetylase.,MF
Four,KPNA2,aipysurusLaevis,GO:0006607,NLS-bearing protein import into nucleus,"The directed movement of a protein bearing a nuclear localization signal (NLS) from the cytoplasm into the nucleus, across the nuclear envelope.",BP
Four,KPNA2,aipysurusLaevis,GO:0075506,entry of viral genome into host nucleus through nuclear pore complex via importin,Viral penetration into the host nucleus where the viral genome passes through the nuclear pore complex (NPC) using the cellular importin transport machinery.,BP
Four,KPNA2,aipysurusLaevis,GO:0061608,nuclear import signal receptor activity,"Combining with a nuclear import signal (NIS) on a cargo to be transported, to mediate transport of the cargo through the nuclear pore, from the cytoplasm to the nuclear lumen. The cargo can be either a RNA or a protein.",MF
Four,KPNA2,aipysurusLaevis,GO:0008139,nuclear localization sequence binding,"Interacting selectively and non-covalently with a nuclear localization sequence, a specific peptide sequence that acts as a signal to localize the protein within the nucleus.",MF
Four,CAMKK2,aipysurusLaevis,GO:0005524,ATP binding,"Interacting selectively and non-covalently with ATP, adenosine 5'-triphosphate, a universally important coenzyme and enzyme regulator.",MF
Four,LYN,aipysurusLaevis,GO:0044325,ion channel binding,"Interacting selectively and non-covalently with one or more specific sites on an ion channel, a protein complex that spans a membrane and forms a water-filled channel across the phospholipid bilayer allowing selective ion transport down its electrochemical gradient.",MF
Four,LYN,aipysurusLaevis,GO:0030889,negative regulation of B cell proliferation,"Any process that stops, prevents or reduces the rate or extent of B cell proliferation.",BP
Four,LYN,aipysurusLaevis,GO:0070373,negative regulation of ERK1 and ERK2 cascade,"Any process that stops, prevents, or reduces the frequency, rate or extent of signal transduction mediated by the ERK1 and ERK2 cascade.",BP
Four,LYN,aipysurusLaevis,GO:0034144,negative regulation of toll-like receptor 4 signaling pathway,"Any process that stops, prevents, or reduces the frequency, rate, or extent of toll-like receptor 4 signaling pathway.",BP
Four,LYN,aipysurusLaevis,GO:0042531,positive regulation of tyrosine phosphorylation of STAT protein,"Any process that activates or increases the frequency, rate or extent of the introduction of a phosphate group to a tyrosine residue of a STAT (Signal Transducer and Activator of Transcription) protein.",BP
Four,LYN,aipysurusLaevis,GO:0071300,cellular response to retinoic acid,"Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a retinoic acid stimulus.",BP
Four,LYN,aipysurusLaevis,GO:0070667,negative regulation of mast cell proliferation,"Any process that stops, prevents or reduces the rate or extent of mast cell proliferation.",BP
Four,LYN,aipysurusLaevis,GO:0017124,SH3 domain binding,"Interacting selectively and non-covalently with a SH3 domain (Src homology 3) of a protein, small protein modules containing approximately 50 amino acid residues found in a great variety of intracellular or membrane-associated proteins.",MF
Four,LYN,aipysurusLaevis,GO:0034136,negative regulation of toll-like receptor 2 signaling pathway,"Any process that stops, prevents, or reduces the frequency, rate, or extent of toll-like receptor 2 signaling pathway.",BP
Four,LYN,aipysurusLaevis,GO:0046875,ephrin receptor binding,Interacting selectively and non-covalently with an ephrin receptor.,MF
Four,LYN,aipysurusLaevis,GO:0002774,Fc receptor mediated inhibitory signaling pathway,A series of molecular signals generated as a consequence of the binding of the Fc portion of an immunoglobulin by an Fc receptor capable of inhibiting an immune effector process contributing to an immune response. The Fc portion of an immunoglobulin is its C-terminal constant region.,BP
Four,LYN,aipysurusLaevis,GO:0070668,positive regulation of mast cell proliferation,Any process that activates or increases the rate or extent of mast cell proliferation.,BP
Four,LYN,aipysurusLaevis,GO:0005524,ATP binding,"Interacting selectively and non-covalently with ATP, adenosine 5'-triphosphate, a universally important coenzyme and enzyme regulator.",MF
Four,JPH1,aipysurusLaevis,GO:0014701,junctional sarcoplasmic reticulum membrane,"The part of the sarcoplasmic reticulum membrane that contains calcium release channels, is devoted to calcium release and is juxtaposed to transverse tubule membrane. The junctional sarcoplasmic reticulum membrane consists of the junctional region of the terminal cisterna membrane.",CC
Four,RABEP2,aipysurusLaevis,GO:0008083,growth factor activity,The function that stimulates a cell to grow or proliferate. Most growth factors have other actions besides the induction of cell growth or proliferation.,MF
Four,RABEP2,aipysurusLaevis,GO:0005096,GTPase activator activity,"Binds to and increases the activity of a GTPase, an enzyme that catalyzes the hydrolysis of GTP.",MF
Four,HARS1,aipysurusLaevis,GO:0005524,ATP binding,"Interacting selectively and non-covalently with ATP, adenosine 5'-triphosphate, a universally important coenzyme and enzyme regulator.",MF
Four,HARS1,aipysurusLaevis,GO:0004821,histidine-tRNA ligase activity,Catalysis of the reaction: ATP + L-histidine + tRNA(His) = AMP + diphosphate + L-histidyl-tRNA(His).,MF
Four,CYP11B,aipysurusLaevis,GO:0020037,heme binding,"Interacting selectively and non-covalently with heme, any compound of iron complexed in a porphyrin (tetrapyrrole) ring.",MF
Four,CYP11B,aipysurusLaevis,GO:0008386,cholesterol monooxygenase (side-chain-cleaving) activity,Catalysis of the reaction: cholesterol + reduced adrenal ferredoxin + O2 = pregnenolone + 4-methylpentanal + oxidized adrenal ferredoxin + H2O.,MF
Four,AATK,aipysurusLaevis,GO:0005524,ATP binding,"Interacting selectively and non-covalently with ATP, adenosine 5'-triphosphate, a universally important coenzyme and enzyme regulator.",MF
Four,GATA2,aipysurusLaevis,GO:0001228,"DNA-binding transcription activator activity, RNA polymerase II-specific",Interacting selectively and non-covalently with a specific double-stranded genomic DNA sequence (sometimes referred to as a motif) within the regulatory region of a RNA polymerase II-transcribed gene to activate or increase transcription. Regulatory regions include promoters (proximal and distal) and enhancers. Genes are transcriptional units.,MF
Four,GATA2,aipysurusLaevis,GO:0090050,positive regulation of cell migration involved in sprouting angiogenesis,"Any process that increases the frequency, rate or extent of cell migration involved in sprouting angiogenesis. Cell migration involved in sprouting angiogenesis is the orderly movement of endothelial cells into the extracellular matrix in order to form new blood vessels contributing to the process of sprouting angiogenesis.",BP
Four,GATA2,aipysurusLaevis,GO:0070742,C2H2 zinc finger domain binding,"Interacting selectively and non-covalently with a C2H2-type zinc finger domain of a protein. The C2H2 zinc finger is the classical zinc finger domain, in which two conserved cysteines and histidines co-ordinate a zinc ion.",MF
Four,GATA2,aipysurusLaevis,GO:0021902,commitment of neuronal cell to specific neuron type in forebrain,The commitment of neuronal precursor cells to become specialized types of neurons in the forebrain.,BP
Four,GATA2,aipysurusLaevis,GO:0010725,regulation of primitive erythrocyte differentiation,"Any process that modulates the rate, frequency, or extent of primitive erythrocyte differentiation. Primitive erythrocyte differentiation occurs as part of the process of primitive hemopoiesis.",BP
Four,GATA2,aipysurusLaevis,GO:0045654,positive regulation of megakaryocyte differentiation,"Any process that activates or increases the frequency, rate or extent of megakaryocyte differentiation.",BP
Four,ETS1,aipysurusLaevis,GO:0001228,"DNA-binding transcription activator activity, RNA polymerase II-specific",Interacting selectively and non-covalently with a specific double-stranded genomic DNA sequence (sometimes referred to as a motif) within the regulatory region of a RNA polymerase II-transcribed gene to activate or increase transcription. Regulatory regions include promoters (proximal and distal) and enhancers. Genes are transcriptional units.,MF
Four,ETS1,aipysurusLaevis,GO:0030578,PML body organization,"A process that is carried out at the cellular level which results in the assembly, arrangement of constituent parts, or disassembly of PML bodies, a class of nuclear body; they react against SP100 auto-antibodies (PML = promyelocytic leukemia).",BP
Four,UMPS,aipysurusLaevis,GO:0004588,orotate phosphoribosyltransferase activity,Catalysis of the reaction: orotidine 5'-phosphate + diphosphate = orotate + 5-phospho-alpha-D-ribose 1-diphosphate.,MF
Four,UMPS,aipysurusLaevis,GO:0004590,orotidine-5'-phosphate decarboxylase activity,Catalysis of the reaction: H(+) + orotidine 5'-phosphate = CO(2) + UMP.,MF
Four,UMPS,aipysurusLaevis,GO:0044205,'de novo' UMP biosynthetic process,"The chemical reactions and pathways resulting in the formation of UMP, uridine monophosphate, starting with the synthesis of (S)-dihydroorotate from bicarbonate; UMP biosynthesis may either occur via reduction by quinone, NAD(+) or oxygen.",BP
Four,UMPS,aipysurusLaevis,GO:0006207,'de novo' pyrimidine nucleobase biosynthetic process,"The chemical reactions and pathways resulting in the formation of pyrimidine nucleobases, 1,3-diazine, organic nitrogenous bases, beginning with the synthesis of a pyrimidine ring from simpler precursors.",BP
Four,LPL,aipysurusLaevis,GO:0004465,lipoprotein lipase activity,"Catalysis of the reaction: triacylglycerol + H2O = diacylglycerol + a carboxylate, where the triacylglycerol is part of a lipoprotein.",MF
Four,LPL,aipysurusLaevis,GO:0042803,protein homodimerization activity,Interacting selectively and non-covalently with an identical protein to form a homodimer.,MF
Four,LPL,aipysurusLaevis,GO:0008201,heparin binding,"Interacting selectively and non-covalently with heparin, any member of a group of glycosaminoglycans found mainly as an intracellular component of mast cells and which consist predominantly of alternating alpha-(1->4)-linked D-galactose and N-acetyl-D-glucosamine-6-sulfate residues.",MF
Four,LPL,aipysurusLaevis,GO:0010886,positive regulation of cholesterol storage,"Any process that increases the rate or extent of cholesterol storage. Cholesterol storage is the accumulation and maintenance in cells or tissues of cholesterol, cholest-5-en-3 beta-ol, the principal sterol of vertebrates and the precursor of many steroids, including bile acids and steroid hormones.",BP
Four,LPL,aipysurusLaevis,GO:0042632,cholesterol homeostasis,Any process involved in the maintenance of an internal steady state of cholesterol within an organism or cell.,BP
Four,LPL,aipysurusLaevis,GO:0043395,heparan sulfate proteoglycan binding,"Interacting selectively and non-covalently with a heparan sulfate proteoglycan, any proteoglycan containing heparan sulfate as the glycosaminoglycan carbohydrate unit.",MF
Four,LPL,aipysurusLaevis,GO:0010890,positive regulation of sequestering of triglyceride,"Any process that increases the rate, frequency or extent of sequestering of triglyceride. Triglyceride sequestration is the process of binding or confining any triester of glycerol such that it is separated from other components of a biological system.",BP
Four,LPL,aipysurusLaevis,GO:0055096,low-density lipoprotein particle mediated signaling,A series of molecular signals mediated by the detection of low-density lipoprotein particle.,BP
Four,LPL,aipysurusLaevis,GO:0008970,phospholipase A1 activity,Catalysis of the reaction: phosphatidylcholine + H2O = 2-acylglycerophosphocholine + a carboxylate.,MF
Four,SLC2A1,aipysurusLaevis,GO:0098708,glucose import across plasma membrane,"The directed movement of glucose from outside of a cell, across the plasma membrane and into the cytosol.",BP
Four,FGB,aipysurusLaevis,GO:0051087,chaperone binding,"Interacting selectively and non-covalently with a chaperone protein, a class of proteins that bind to nascent or unfolded polypeptides and ensure correct folding or transport.",MF
Four,FGB,aipysurusLaevis,GO:0034116,positive regulation of heterotypic cell-cell adhesion,"Any process that activates or increases the frequency, rate, or extent of heterotypic cell-cell adhesion.",BP
Four,FGB,aipysurusLaevis,GO:0043152,induction of bacterial agglutination,Any process in which infecting bacteria are clumped together by a host organism.,BP
Four,UHRF1BP1,aipysurusLaevis,GO:0042826,histone deacetylase binding,Interacting selectively and non-covalently with the enzyme histone deacetylase.,MF
Four,STK38,aipysurusLaevis,GO:0005524,ATP binding,"Interacting selectively and non-covalently with ATP, adenosine 5'-triphosphate, a universally important coenzyme and enzyme regulator.",MF
Four,MECP2,aipysurusLaevis,GO:0008542,visual learning,Any process in an organism in which a change in behavior of an individual occurs in response to repeated exposure to a visual cue.,BP
Four,MECP2,aipysurusLaevis,GO:0002087,regulation of respiratory gaseous exchange by nervous system process,A process carried out by the nervous system that is required for the proper control of respiratory gaseous exchange. This process occurs in the respiratory center of the brain in vertebrates.,BP
Four,MECP2,aipysurusLaevis,GO:0007616,long-term memory,"The memory process that deals with the storage, retrieval and modification of information a long time (typically weeks, months or years) after receiving that information. This type of memory is typically dependent on gene transcription regulated by second messenger activation.",BP
Four,MECP2,aipysurusLaevis,GO:0008327,methyl-CpG binding,Interacting selectively and non-covalently with a methylated cytosine/guanine dinucleotide.,MF
Four,MECP2,aipysurusLaevis,GO:0010385,double-stranded methylated DNA binding,Interacting selectively and non-covalently with double-stranded methylated DNA. Methylation of cytosine or adenine in DNA is an important mechanism for establishing stable heritable epigenetic marks.,MF
Four,MECP2,aipysurusLaevis,GO:0035197,siRNA binding,"Interacting selectively and non-covalently with a small interfering RNA, a 21-23 nucleotide RNA that is processed from double stranded RNA (dsRNA) by an RNAse enzyme.",MF
Four,TUBB6,aipysurusLaevis,GO:0005525,GTP binding,"Interacting selectively and non-covalently with GTP, guanosine triphosphate.",MF
Four,HSPA13,aipysurusLaevis,GO:0005524,ATP binding,"Interacting selectively and non-covalently with ATP, adenosine 5'-triphosphate, a universally important coenzyme and enzyme regulator.",MF
Four,ASL,aipysurusLaevis,GO:0004056,argininosuccinate lyase activity,Catalysis of the reaction: N-(L-arginino)succinate = fumarate + L-arginine.,MF
Four,HNF4B,aipysurusLaevis,GO:0004879,nuclear receptor activity,Combining with a signal and transmitting the signal to the transcriptional machinery by interacting selectively and non-covalently with a specific double-stranded genomic DNA sequence in order to modulate transcription by RNA polymerase II.,MF
Four,TMX3,aipysurusLaevis,GO:0045454,cell redox homeostasis,Any process that maintains the redox environment of a cell or compartment within a cell.,BP
Four,CIR1,aipysurusLaevis,GO:0042826,histone deacetylase binding,Interacting selectively and non-covalently with the enzyme histone deacetylase.,MF
Four,CIR1,aipysurusLaevis,GO:0020037,heme binding,"Interacting selectively and non-covalently with heme, any compound of iron complexed in a porphyrin (tetrapyrrole) ring.",MF
Four,SQSTM1,aipysurusLaevis,GO:0031625,ubiquitin protein ligase binding,"Interacting selectively and non-covalently with a ubiquitin protein ligase enzyme, any of the E3 proteins.",MF
Four,SQSTM1,aipysurusLaevis,GO:0070530,K63-linked polyubiquitin modification-dependent protein binding,Interacting selectively and non-covalently with a protein upon poly-ubiquitination formed by linkages between lysine residues at position 63 in the target protein.,MF
Four,SQSTM1,aipysurusLaevis,GO:0016605,PML body,"A class of nuclear body; they react against SP100 auto-antibodies (PML, promyelocytic leukemia); cells typically contain 10-30 PML bodies per nucleus; alterations in the localization of PML bodies occurs after viral infection.",CC
Four,SQSTM1,aipysurusLaevis,GO:0061635,regulation of protein complex stability,Any process that affects the structure and integrity of a protein complex by altering the likelihood of its assembly or disassembly.,BP
Four,SQSTM1,aipysurusLaevis,GO:0042169,SH2 domain binding,"Interacting selectively and non-covalently with a SH2 domain (Src homology 2) of a protein, a protein domain of about 100 amino-acid residues and belonging to the alpha + beta domain class.",MF
Four,SQSTM1,aipysurusLaevis,GO:0044754,autolysosome,A type of secondary lysosome in which a primary lysosome has fused with the outer membrane of an autophagosome. It is involved in the second step of autophagy in which it degrades contents with acidic lysosomal hydrolases.,CC
Four,SQSTM1,aipysurusLaevis,GO:0005080,protein kinase C binding,Interacting selectively and non-covalently with protein kinase C.,MF
Four,SQSTM1,aipysurusLaevis,GO:0044753,amphisome,Intermediate organelles formed during macroautophagy through the fusion between autophagosomes and endosomes.,CC
Four,SQSTM1,aipysurusLaevis,GO:0035255,ionotropic glutamate receptor binding,Interacting selectively and non-covalently with an ionotropic glutamate receptor. Ionotropic glutamate receptors bind glutamate and exert an effect through the regulation of ion channels.,MF
Four,SQSTM1,aipysurusLaevis,GO:0016235,aggresome,An inclusion body formed by dynein-dependent retrograde transport of an aggregated protein on microtubules.,CC
Four,OG24501,aipysurusLaevis,GO:0020037,heme binding,"Interacting selectively and non-covalently with heme, any compound of iron complexed in a porphyrin (tetrapyrrole) ring.",MF
Four,COL12A1,aipysurusLaevis,GO:0005595,collagen type XII trimer,A collagen homotrimer of alpha1(XII) chains; type XII collagen triple helices may link sheet-forming or fibrillar collagens to other structures.,CC
Four,RTN4RL1,aipysurusLaevis,GO:0008201,heparin binding,"Interacting selectively and non-covalently with heparin, any member of a group of glycosaminoglycans found mainly as an intracellular component of mast cells and which consist predominantly of alternating alpha-(1->4)-linked D-galactose and N-acetyl-D-glucosamine-6-sulfate residues.",MF
Four,RTN4RL1,aipysurusLaevis,GO:0035374,chondroitin sulfate binding,"Interacting selectively and non-covalently with chondroitin sulfate, a glycosaminoglycan made up of two alternating monosaccharides: D-glucuronic acid (GlcA) and N-acetyl-D-galactosamine (GalNAc).",MF
Four,MAP2K7,aipysurusLaevis,GO:0032212,positive regulation of telomere maintenance via telomerase,"Any process that activates or increases the frequency, rate or extent of the addition of telomeric repeats by telomerase.",BP
Four,MAP2K7,aipysurusLaevis,GO:0000287,magnesium ion binding,Interacting selectively and non-covalently with magnesium (Mg) ions.,MF
Four,MAP2K7,aipysurusLaevis,GO:0005524,ATP binding,"Interacting selectively and non-covalently with ATP, adenosine 5'-triphosphate, a universally important coenzyme and enzyme regulator.",MF
Four,SYT1,aipysurusLaevis,GO:0005544,calcium-dependent phospholipid binding,"Interacting selectively and non-covalently with phospholipids, a class of lipids containing phosphoric acid as a mono- or diester, in the presence of calcium.",MF
Four,SYT1,aipysurusLaevis,GO:0046982,protein heterodimerization activity,Interacting selectively and non-covalently with a nonidentical protein to form a heterodimer.,MF
Four,SYT1,aipysurusLaevis,GO:0001786,phosphatidylserine binding,"Interacting selectively and non-covalently with phosphatidylserine, a class of glycophospholipids in which a phosphatidyl group is esterified to the hydroxyl group of L-serine.",MF
Four,SYT1,aipysurusLaevis,GO:0005546,"phosphatidylinositol-4,5-bisphosphate binding","Interacting selectively and non-covalently with phosphatidylinositol-4,5-bisphosphate, a derivative of phosphatidylinositol in which the inositol ring is phosphorylated at the 4' and 5' positions.",MF
Four,SYT1,aipysurusLaevis,GO:0099066,integral component of neuronal dense core vesicle membrane,The component of the neuronal dense core vesicle membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane.,CC
Four,SMAP2,aipysurusLaevis,GO:0005096,GTPase activator activity,"Binds to and increases the activity of a GTPase, an enzyme that catalyzes the hydrolysis of GTP.",MF
Four,RAPSN,aipysurusLaevis,GO:0033130,acetylcholine receptor binding,Interacting selectively and non-covalently with an acetylcholine receptor.,MF
Four,FOXA1,aipysurusLaevis,GO:0060528,secretory columnal luminar epithelial cell differentiation involved in prostate glandular acinus development,The process in which a relatively unspecialized epithelial cell acquires specialized features of a secretory columnal luminar epithelial cell of the prostate.,BP
Four,FOXA1,aipysurusLaevis,GO:0060741,prostate gland stromal morphogenesis,The process in which the prostate gland stroma is generated and organized. The prostate gland stroma is made up of the mesenchymal or fibroblast cells of the prostate gland.,BP
Four,FOXA1,aipysurusLaevis,GO:0060743,epithelial cell maturation involved in prostate gland development,"The developmental process, independent of morphogenetic (shape) change, that is required for an epithelial cell of the prostate gland to attain its fully functional state. An epithelial cell is a cell usually found in a two-dimensional sheet with a free surface.",BP
Four,FOXA1,aipysurusLaevis,GO:0061144,alveolar secondary septum development,"The progression of a secondary alveolar septum over time, from its formation to the mature structure. A secondary alveolar septum is a specialized epithelium that subdivides the initial saccule.",BP
Four,FOXA1,aipysurusLaevis,GO:0033148,positive regulation of intracellular estrogen receptor signaling pathway,"Any process that activates or increases the frequency, rate or extent of the activity of an intracellular estrogen receptor signaling pathway.",BP
Four,ARRDC1,aipysurusLaevis,GO:0031625,ubiquitin protein ligase binding,"Interacting selectively and non-covalently with a ubiquitin protein ligase enzyme, any of the E3 proteins.",MF
Four,ATAD2,aipysurusLaevis,GO:0005524,ATP binding,"Interacting selectively and non-covalently with ATP, adenosine 5'-triphosphate, a universally important coenzyme and enzyme regulator.",MF
Four,ACY1,aipysurusLaevis,GO:0004046,aminoacylase activity,Catalysis of the reaction: an N-acyl-L-amino acid + H2O = a carboxylate + an L-amino acid.,MF
Four,P2RX4,aipysurusLaevis,GO:0004931,extracellularly ATP-gated cation channel activity,Enables the transmembrane transfer of a cation by a channel that opens when ATP is bound by the channel complex or one of its constituent parts on the extracellular side of the plasma membrane.,MF
Four,P2RX4,aipysurusLaevis,GO:0005524,ATP binding,"Interacting selectively and non-covalently with ATP, adenosine 5'-triphosphate, a universally important coenzyme and enzyme regulator.",MF
Four,NDRG1,aipysurusLaevis,GO:0032287,peripheral nervous system myelin maintenance,The process in which the structure and material content of mature peripheral nervous system myelin is kept in a functional state.,BP
Four,MAT1A,aipysurusLaevis,GO:0006556,S-adenosylmethionine biosynthetic process,"The chemical reactions and pathways resulting in the formation of S-adenosylmethionine, S-(5'-adenosyl)-L-methionine, an important intermediate in one-carbon metabolism.",BP
Four,MAT1A,aipysurusLaevis,GO:0004478,methionine adenosyltransferase activity,Catalysis of the reaction: ATP + L-methionine + H2O = phosphate + diphosphate + S-adenosyl-L-methionine.,MF
Four,MAT1A,aipysurusLaevis,GO:0005524,ATP binding,"Interacting selectively and non-covalently with ATP, adenosine 5'-triphosphate, a universally important coenzyme and enzyme regulator.",MF
Four,IDH3G,aipysurusLaevis,GO:0000287,magnesium ion binding,Interacting selectively and non-covalently with magnesium (Mg) ions.,MF
Four,IDH3G,aipysurusLaevis,GO:0004449,isocitrate dehydrogenase (NAD+) activity,Catalysis of the reaction: isocitrate + NAD+ = 2-oxoglutarate + CO2 + NADH + H+.,MF
Four,NPRL2,aipysurusLaevis,GO:0005096,GTPase activator activity,"Binds to and increases the activity of a GTPase, an enzyme that catalyzes the hydrolysis of GTP.",MF
Four,C1GALT1,aipysurusLaevis,GO:0016263,glycoprotein-N-acetylgalactosamine 3-beta-galactosyltransferase activity,Catalysis of the addition of a galactosyl residue to a non-reducing O-linked N-acetylgalactosamine residue in an O-glycan.,MF
Four,B4GALT2,aipysurusLaevis,GO:0008542,visual learning,Any process in an organism in which a change in behavior of an individual occurs in response to repeated exposure to a visual cue.,BP
Four,CXCR5,aipysurusLaevis,GO:0048535,lymph node development,"The process whose specific outcome is the progression of lymph nodes over time, from their formation to the mature structure. A lymph node is a round, oval, or bean shaped structure localized in clusters along the lymphatic vessels, with a distinct internal structure including specialized vasculature and B- and T-zones for the activation of lymphocytes.",BP
Four,TALDO1,aipysurusLaevis,GO:0004801,sedoheptulose-7-phosphate:D-glyceraldehyde-3-phosphate glyceronetransferase activity,Catalysis of the reaction: sedoheptulose 7-phosphate + D-glyceraldehyde 3-phosphate = D-erythrose 4-phosphate + D-fructose 6-phosphate.,MF
Four,NSUN3,aipysurusLaevis,GO:0016428,tRNA (cytosine-5-)-methyltransferase activity,Catalysis of the reaction: S-adenosyl-L-methionine + tRNA = S-adenosyl-L-homocysteine + tRNA containing 5-methylcytosine.,MF
